Arabic,Latin,Arabic Unicode (UTF-16),Latin Unicode (UTF-16)
ء,ǝ,\u0621,\u01dd
ا,a,\u0627,\u0061
ب,b,\u0628,\u0062
ت,t,\u062a,\u0074
ث,ṯ,\u062b,\u1e6f
ج,g,\u062c,\u0067
ح,ḥ,\u062d,\u1e25
خ,ḵ,\u062e,\u1e35
د,d,\u062f,\u0064
ذ,ḏ,\u0630,\u1e0f
ر,r,\u0631,\u0072
ز,z,\u0632,\u007a
س,s,\u0633,\u0073
ش,s̱,\u0634,\u0073\u0331
ص,ṣ,\u0635,\u1e63
ض,ḍ,\u0636,\u1e0d
ط,ṭ,\u0637,\u1e6d
ظ,ẓ,\u0638,\u1e93
ع,ạ,\u0639,\u1ea1
غ,g̣,\u063a,\u0067\u0323
ف,f,\u0641,\u0066
ق,q,\u0642,\u0071
ك,k,\u0643,\u006b
ل,l,\u0644,\u006c
م,m,\u0645,\u006d
ن,n,\u0646,\u006e
ه,h,\u0647,\u0068
و,w,\u0648,\u0077
ي,y̤,\u064a,\u0079\u0324